33.640302,-117.769442,MLB,Angels,Los Angeles Angels,Angel Stadium of Anaheim,45483
34.987309,-86.249153,MLB,Giants,San Francisco Giants,AT&T Park,41915
33.455113,-91.846798,MLB,Cardinals,St. Louis Cardinals,Busch Stadium,43975
40.464046,-99.251676,MLB,Diamondbacks,Arizona Diamondbacks,Chase Field,48633
35.110079,-88.292167,MLB,Mets,New York Mets,Citi Field,41922
39.905800,-75.166400,MLB,Phillies,Philadelphia Phillies,Citizens Bank Park,43651
38.935,-97.120851,MLB,Tigers,Detroit Tigers,Comerica Park,41255
39.193122,-83.055736,MLB,Rockies,Colorado Rockies,Coors Field,50480
33.455113,-91.846798,MLB,Dodgers,Los Angeles Dodgers,Dodger Stadium,56000
41.263389,-81.559563,MLB,Red Sox,Boston Red Sox,Fenway Park,37499
36.227357,-80.833404,MLB,Rangers,Texas Rangers,Globe Life Park in Arlington,48114
42.565932,-75.955301,MLB,Reds,Cincinnati Reds,Great American Ball Park,42319
31.593502,-84.93687,MLB,Royals,Kansas City Royals,Kauffman Stadium,37903
33.528204,-110.966562,MLB,Marlins,Miami Marlins,Marlins Park,36742
43.011264,-87.958409,MLB,Brewers,Milwaukee Brewers,Miller Park,41900
32.896272,-93.877571,MLB,Astros,Houston Astros,Minute Maid Park,42060
38.035657,-81.831511,MLB,Nationals,Washington Nationals,Nationals Park,41418
39.872818,-85.956926,MLB,Athletics,Oakland Athletics,Oakland Coliseum,35067
30.143814,-85.757987,MLB,Orioles,Baltimore Orioles,Oriole Park at Camden Yards,45971
34.20594,-88.886169,MLB,Padres,San Diego Padres,Petco Park,42524
33.880659,-84.219365,MLB,Pirates,Pittsburgh Pirates,PNC Park,38362
26.961727,-81.983976,MLB,Indians,Cleveland Indians,Progressive Field,42241
39.71394,-89.62982,MLB,Blue Jays,Toronto Blue Jays,Rogers Centre,49282
38.971112,-95.456087,MLB,Mariners,Seattle Mariners,Safeco Field,47476
39.141097,-97.650674,MLB,Twins,Minnesota Twins,Target Field,39021
39.058359,-92.893246,MLB,Rays,Tampa Bay Rays,Tropicana Field,34078
40.641767,-73.170671,MLB,Braves,Atlanta Braves,Turner Field,49586
37.044622,-80.227981,MLB,White Sox,Chicago White Sox,U.S. Cellular Field,40615
37.044622,-80.227981,MLB,Cubs,Chicago Cubs,Wrigley Field,41019
40.829200,-73.926400,MLB,Yankees,New York Yankees,Yankee Stadium,50291
42.11068,-84.247948,AUTO,,,Michigan International Speedway,137243
39.11314,-94.626747,AUTO,,,Kansas Speedway,81687
38.709747,-84.909943,AUTO,,,Kentucky Speedway,66089
42.11068,-84.247948,AUTO,,,Michigan International Speedway,137243
39.11314,-94.626747,AUTO,,,Kansas Speedway,81687
38.709747,-84.909943,AUTO,,,Kentucky Speedway,66089
36.19199,-115.087662,AUTO,,,Las Vegas Motor Speedway,142000
37.585911,-77.423714,AUTO,,,Richmond International Raceway,112029
41.469017,-88.066185,AUTO,,,Chicagoland Speedway,75000
34.084541,-117.488991,AUTO,,,California Speedway,92000
36.207722,-86.288803,AUTO,,,Nashville Superspeedway,50000
40.814331,-82.498856,AUTO,,,Mansfield Motorsports Speedway,25000
38.902504,-85.519936,AUTO,,,Dover International Speedway,140000
43.016773,-88.008842,AUTO,,,The Milwaukee Mile,45000
43.359005,-71.465202,AUTO,,,New Hampshire International Speedway,91000
34.295509,-79.890755,AUTO,,,Darlington Raceway,63000
35.14962,-90.048943,AUTO,,,Memphis Motorsports Speedway,35000
36.68996,-79.868729,AUTO,,,Martinsville Speedway,65000
39.766949,-86.149948,AUTO,,,O'Reilly Raceway Park,30000
38.679642,-90.157188,AUTO,,,Gateway International Raceway,60000
39.787625,-86.239009,AUTO,,,Indianapolis Motor Speedway,250000
36.518032,-82.253906,AUTO,,,Bristol Motor Speedway,160000
25.455145,-80.41169,AUTO,,,Homestead - Miami Speedway,65000
33.026806,-97.28508,AUTO,,,Tezxas Motor Speedway,159585
35.434731,-80.603569,AUTO,,,Lowe's Motor Speedway,165000
33.391192,-84.309608,AUTO,,,Atlanta Motor Speedway,124000
19.40904,-99.149773,AUTO,,,Autodromo Hermanos Rodriguez,0
45.506729,-73.553078,AUTO,,,Circuit Giles Villeneuve,0
38.15097,-122.449387,AUTO,,,Infineon Raceway,0
42.347051,-76.926323,AUTO,,,Watkins Glen International,0
33.378994,-112.3097,AUTO,,,Phoenix International Speedway,76800
29.192741,-81.066925,AUTO,,,Daytona International Speedway,168000
33.579865,-86.069481,AUTO,,,Talladega Superspeedway,143231
41.063637,-75.452316,AUTO,,,Pocono Raceway,76812
40.828399,-74.093886,NFL, Jets, Jets,Metlife Stadium,0
40.828399,-74.093886,NFL, Giants, Giants,Metlife Stadium,0
38.912334,-76.910807,NFL, Redskins, Redskins,FedEX Field,0
32.771455,-97.079633,NFL, Cowboys, Cowboys,Cowboys Stadium,0
29.960481,-90.064794,NFL,Saints,Saints,Mercedez-Benz Stadium,0
39.055838,-94.508565,NFL,Chiefs,Chiefs,Arrowhead Stadium,0
39.720136,-105.021502,NFL,Broncos ,Broncos ,Mile High Stadium,0
25.949125,-80.245068,NFL,Dolphins,Dolphins,Sun Life Stadium,0
35.226192,-80.843493,NFL,Panthers,Panthers,Bank of America Stadium,0
41.5145,-81.677302,NFL,Browns,Browns,Cleveland Browns Stadium,0
44.460064,-88.007382,NFL,Packers,Packers,Lambeau Field,0
42.783393,-78.746419,NFL,Bills ,Bills ,Ralph Wilson Stadium,0
32.774699,-117.148616,NFL,Chargers,Chargers, Qualcomm Stadium,0
33.760505,-84.399626,NFL,Falcons,Falcons,Georgia Dome,0
29.67543,-95.391466,NFL,Texans,Texans,Reliant Stadium,0
39.262052,-76.635523,NFL,Ravens,Ravens,M&T Bank Stadium,0
37.73123,-122.382857,NFL,49ers,49ers,Candlestick Park,0
40.001811,-75.11787,NFL,Eagles ,Eagles ,Lincoln Financial Field,0
36.168626,-86.762899,NFL,Titans,Titans,LP Field,0
30.328439,-81.65602,NFL,Jaguars,Jaguars,EverBank Field,0
47.432251,-121.803388,NFL,Seahawks,Seahawks,CenturyLink Field,0
38.523664,-90.33845,NFL,Rams,Rams, Edward Jones Dome,0
27.966697,-82.556868,NFL,Buccaneers,Buccaneers,Raymond James Stadium,0
39.11026,-84.486142,NFL,Bengals,Bengals,Paul Brown Stadium,0
40.48529,-79.989104,NFL,Steelers,Steelers,Heinz Field,0
42.239933,-83.150823,NFL,Lions,Lions,Ford Fielddagger,0
44.974215,-93.258474,NFL,Vikings ,Vikings , Humphrey Metrodome,0
33.276539,-112.18717,NFL,Cardinals,Cardinals,U. of Phoenix Stadium,0
37.742529,-122.196689,NFL,Raiders,Raiders,O.co Coliseum,0
39.743793,-86.167886,NFL,Colts ,Colts ,Lucas Oil Stadium,0
41.811929,-87.68732,NFL,Bears,Bears,Soldier Field,0
42.075099,-71.270332,NFL,Patriots,Patriots,Gillette Stadium,0
25.778028,-80.219806,NCAAFootball,University of Miami,University of Miami,Miami Orange Bowl,72319
30.438136,-84.304317,NCAAFootball,Florida State,Florida State,Bobby Bowden Field at Doak Campbell Stadium,82300
33.772497,-84.392858,NCAAFootball,Georgia Tech,Georgia Tech,Bobby Dodd Stadium at Historic Grant Field,55000
34.678747,-82.843175,NCAAFootball,Clemson,Clemson,Frank Howard Field at Memorial Stadium,80301
35.800778,-78.719472,NCAAFootball,North Carolina State,North Carolina State,Carter-Finley Stadium,60000
35.906944,-79.047861,NCAAFootball,The University of North Carolina at Chapel Hill,The University of North Carolina at Chapel Hill,Kenan Memorial Stadium,60000
35.995342,-78.941719,NCAAFootball,Duke,Duke,Wallace Wade Stadium,33941
36.130556,-80.254722,NCAAFootball,Wake Forest,Wake Forest,BB&T Field (formerly Groves Stadium),31500
37.22,-80.418056,NCAAFootball,Virginia Tech,Virginia Tech,Lane Stadium / Worsham Field,66233
38.031056,-78.513861,NCAAFootball,University of Virginia,University of Virginia,"Carl Smith Center, Home of David A. Harrison III Field at Scott Stadium",61500
38.990272,-76.947269,NCAAFootball,Maryland,Maryland,Chevy Chase Bank Field at Byrd Stadium,51500
42.335111,-71.166444,NCAAFootball,Boston College,Boston College,Alumni Stadium,44500
30.283658,-97.732517,NCAAFootball,University of Texas,University of Texas,Darrell K Royal-Texas Memorial Stadium,85123
30.609917,-96.340389,NCAAFootball,Texas A&M University,Texas A&M University,Kyle Field,82600
31.530194,-97.148639,NCAAFootball,Baylor University,Baylor University,Floyd Casey Stadium,50000
33.591056,-101.872889,NCAAFootball,Texas Tech University,Texas Tech University,Jones AT&T Stadium,53000
35.205881,-97.442511,NCAAFootball,University of Oklahoma,University of Oklahoma,Gaylord Family - Oklahoma Memorial Stadium at Owen Field,82112
36.125722,-97.066528,NCAAFootball,Oklahoma State University,Oklahoma State University,Boone Pickens Stadium,44700
38.935833,-92.333194,NCAAFootball,University of Missouri,University of Missouri,Memorial Stadium/Faurot Field,68349
38.963028,-95.246389,NCAAFootball,University of Kansas,University of Kansas,University of Kansas Memorial Stadium,50071
39.202028,-96.593861,NCAAFootball,Kansas State University,Kansas State University,Bill Snyder Family Football Stadium,52200
40.009444,-105.266889,NCAAFootball,University of Colorado,University of Colorado,Folsom Field,53750
40.820639,-96.705639,NCAAFootball,University of Nebraska,University of Nebraska,Memorial Stadium/Tom Osborne Field,85197
42.014028,-93.63575,NCAAFootball,Iowa State University,Iowa State University,Jack Trice Stadium,55000
27.975967,-82.50335,NCAAFootball,University of South Florida,University of South Florida,Raymond James Stadium,65857
38.205889,-85.758806,NCAAFootball,University of Louisville,University of Louisville,Papa John's Cardinal Stadium,42000
39.650222,-79.954667,NCAAFootball,West Virginia University,West Virginia University,Mountaineer Field,60500
40.446786,-80.015761,NCAAFootball,University of Pittsburgh,University of Pittsburgh,Heinz Field,65050
40.513544,-74.465264,NCAAFootball,Rutgers University,Rutgers University,Rutgers Stadium,41500
41.759444,-72.618611,NCAAFootball,University of Connecticut,University of Connecticut,Rentschler Field,40000
43.036244,-76.136467,NCAAFootball,Syracuse University,Syracuse University,Carrier Dome,50000
39.1325,-84.5159,NCAAFootball,University of Cincinnati,University of Cincinnati,Nippert Stadium,35000
39.180894,-86.525622,NCAAFootball,Indiana University,Indiana University,Memorial Stadium,50180
40.001639,-83.019722,NCAAFootball,The Ohio State University,The Ohio State University,Ohio Stadium,101568
40.099294,-88.235942,NCAAFootball,University of Illinois,University of Illinois,Memorial Stadium,71000
40.434417,-86.918417,NCAAFootball,Purdue University,Purdue University,Ross-Ade Stadium,62500
40.812222,-77.856111,NCAAFootball,Pennsylvania State University,Pennsylvania State University,Beaver Stadium,107282
41.658639,-91.551083,NCAAFootball,University of Iowa,University of Iowa,Kinnick Stadium,70585
42.065417,-87.692472,NCAAFootball,Northwestern University,Northwestern University,Ryan Field,49256
42.265889,-83.74875,NCAAFootball,University of Michigan,University of Michigan,Michigan Stadium,107501
42.728194,-84.48475,NCAAFootball,Michigan State University,Michigan State University,Spartan Stadium,75005
43.069928,-89.412872,NCAAFootball,University of Wisconsin,University of Wisconsin,Camp Randall Stadium,80321
44.973881,-93.258094,NCAAFootball,University of Minnesota,University of Minnesota,The Hubert H. Humphrey Metrodome,64111
45.64085,-93.393617,NCAAFootball,University of Minnesota,University of Minnesota,Siebert Field,1500
28.6091,-81.1924,NCAAFootball,University of Central Florida (UCF),University of Central Florida (UCF),Bright House Networks Stadium,45301
29.716333,-95.409306,NCAAFootball,Rice University,Rice University,Rice Stadium,47000
29.722,-95.349278,NCAAFootball,University of Houston,University of Houston,Robertson Stadium,32000
29.950931,-90.081364,NCAAFootball,Tulane University,Tulane University,The Louisiana Superdome,69703
31.773333,-106.507944,NCAAFootball,University of Texas at El Paso (UTEP),University of Texas at El Paso (UTEP),The Sun Bowl,51500
32.83775,-96.782778,NCAAFootball,Southern Methodist University (SMU),Southern Methodist University (SMU),Gerald J. Ford Stadium,32000
33.511508,-86.842647,NCAAFootball,University of Alabama at Birmingham (UAB),University of Alabama at Birmingham (UAB),Legion Field,71594
35.121114,-89.9774,NCAAFootball,University of Memphis,University of Memphis,Liberty Bowl Memorial Stadium,62380
35.5767,-77.3361,NCAAFootball,East Carolina University (ECU),East Carolina University (ECU),Dowdy-Ficklen Stadium,43000
38.4226,-82.4315,NCAAFootball,Marshall University,Marshall University,Joan C. Edwards,38019
31.3296,-89.2961,NCAAFootball,The University of Southern Mississippi (USM),The University of Southern Mississippi (USM),M. M. Roberts Stadium,33000
36.1498,-95.9449,NCAAFootball,University of Tulsa,University of Tulsa,Skelly Field at H.A. Chapman Stadium,35542
38.984778,-76.507083,NCAAFootball,Navy,Navy,Navy-Marine Corps Memorial Stadium,35000
41.387556,-73.964139,NCAAFootball,Army,Army,Michie Stadium,39929
41.698389,-86.233872,NCAAFootball,University of Notre Dame,University of Notre Dame,Notre Dame Stadium,80795
36.990932,-86.443451,NCAAFootball,Western Kentucky,Western Kentucky,L.T. Smith Stadium,17500
39.900775,-75.167453,NCAAFootball,Temple,Temple,Lincoln Financial Field,68532
41.081181,-81.518944,NCAAFootball,University of Akron,University of Akron,Rubber Bowl,35202
41.38,-83.62394,NCAAFootball,Bowling Green State University,Bowling Green State University,Doyt Perry Stadium,28599
42.9409,-78.8365,NCAAFootball,University at Buffalo,University at Buffalo,University at Buffalo Stadium,31000
41.1481,-81.3533,NCAAFootball,Kent State University,Kent State University,Dix Stadium,29287
39.507271,-84.745682,NCAAFootball,Miami University,Miami University,Yager Stadium,24286
39.3132,-82.10378,NCAAFootball,Ohio University,Ohio University,Peden Stadium,24000
40.20804,-85.4199,NCAAFootball,Ball State University,Ball State University,Scheumann Stadium,23500
43.598049,-84.767578,NCAAFootball,Central Michigan University,Central Michigan University,Kelly/Shorts Stadium,30199
42.24044,-83.6479,NCAAFootball,Eastern Michigan University,Eastern Michigan University,Rynearson Stadium,30200
41.9332,-88.77992,NCAAFootball,Northern Illinois University,Northern Illinois University,Huskie Stadium,31000
41.6603,-83.6125,NCAAFootball,University of Toledo,University of Toledo,Glass Bowl,26248
42.26668,-85.6625,NCAAFootball,Western Michigan University,Western Michigan University,Waldo Stadium,30200
32.709639,-97.368083,NCAAFootball,Texas Christian University,Texas Christian University,Amon G. Carter Stadium,44008
32.783117,-117.119525,NCAAFootball,San Diego State University,San Diego State University,Qualcomm Stadium,71294
35.066944,-106.628278,NCAAFootball,University of New Mexico,University of New Mexico,University Stadium,38634
36.086278,-115.016722,NCAAFootball,"University of Nevada, Las Vegas","University of Nevada, Las Vegas",Sam Boyd Stadium,36800
38.997056,-104.843528,NCAAFootball,United States Air Force Academy,United States Air Force Academy,Falcon Stadium,52480
40.257519,-111.654483,NCAAFootball,Brigham Young University,Brigham Young University,LaVell Edwards Stadium,64045
40.562083,-105.141611,NCAAFootball,Colorado State University,Colorado State University,Hughes Stadium,34400
40.759944,-111.848833,NCAAFootball,University of Utah,University of Utah,Rice-Eccles Stadium,45017
41.312302,-105.579002,NCAAFootball,University of Wyoming,University of Wyoming,War Memorial Stadium,32580
32.228833,-110.948806,NCAAFootball,University of Arizona,University of Arizona,Arizona Stadium,57803
33.426417,-111.932556,NCAAFootball,Arizona State University,Arizona State University,Sun Devil Stadium,73379
34.014,-118.287833,NCAAFootball,University of Southern California,University of Southern California,Los Angeles Memorial Coliseum,92000
34.161333,-118.167611,NCAAFootball,"University of California, Los Angeles","University of California, Los Angeles",Rose Bowl,91136
37.434533,-122.161133,NCAAFootball,Stanford University,Stanford University,Stanford Stadium,50000
37.871,-122.25075,NCAAFootball,"University of California, Berkeley","University of California, Berkeley",California Memorial Stadium,75662
44.058222,-123.068444,NCAAFootball,University of Oregon,University of Oregon,Autzen Stadium at Rich Brooks Field,54000
44.559539,-123.281406,NCAAFootball,Oregon State University,Oregon State University,Reser Stadium,45674
46.731806,-117.160444,NCAAFootball,Washington State University,Washington State University,Martin Stadium,35117
47.650278,-122.301583,NCAAFootball,University of Washington,University of Washington,Husky Stadium,72500
29.649917,-82.348556,NCAAFootball,University of Florida,University of Florida,Ben Hill Griffin Stadium,88548
30.412028,-91.183806,NCAAFootball,Louisiana State University,Louisiana State University,Tiger Stadium,92400
32.602222,-85.489167,NCAAFootball,Auburn University,Auburn University,Jordan-Hare Stadium,87451
33.207667,-87.550444,NCAAFootball,University of Alabama,University of Alabama,Bryant-Denny Stadium,92138
33.456361,-88.793667,NCAAFootball,Mississippi State University,Mississippi State University,Davis Wade Stadium (Scott Field),55082
33.94975,-83.373278,NCAAFootball,University of Georgia,University of Georgia,Sanford Stadium,92746
33.973083,-81.01925,NCAAFootball,University of South Carolina,University of South Carolina,Williams-Brice Stadium,80250
34.362,-89.534111,NCAAFootball,University of Mississippi,University of Mississippi,Vaught-Hemingway Stadium,60850
34.749861,-92.33,NCAAFootball,University of Arkansas,University of Arkansas,War Memorial Stadium (secondary),53727
35.954972,-83.925,NCAAFootball,University of Tennessee,University of Tennessee,Neyland Stadium,102037
36.068083,-94.178944,NCAAFootball,University of Arkansas,University of Arkansas,Razorback Stadium (primary),72000
36.144028,-86.808917,NCAAFootball,Vanderbilt University,Vanderbilt University,Vanderbilt Stadium,39790
38.02275,-84.505167,NCAAFootball,University of Kentucky,University of Kentucky,Commonwealth Stadium,67530
25.752222,-80.377778,NCAAFootball,Florida International University,Florida International University,FIU Stadium,23500
35.851111,-86.368333,NCAAFootball,Middle Tennessee State University,Middle Tennessee State University,"Johnny ""Red"" Floyd Stadium",31000
35.842091,-90.704048,NCAAFootball,Arkansas State University,Arkansas State University,Indian Stadium,33410
26.191245,-80.159552,NCAAFootball,Florida Atlantic University,Florida Atlantic University,Lockhart Stadium,20450
30.213899,-92.04194,NCAAFootball,University of Louisiana at Lafayette,University of Louisiana at Lafayette,Cajun Field,31000
32.53438,-92.06732,NCAAFootball,University of Louisiana at Monroe,University of Louisiana at Monroe,Malone Stadium,30427
33.20662,-97.14544,NCAAFootball,University of North Texas,University of North Texas,Fouts Field,30500
31.8331,-85.9461,NCAAFootball,Troy University,Troy University,Movie Gallery Stadium,30000
21.372806,-157.929944,NCAAFootball,University of Hawaii at Ma-noa,University of Hawaii at Ma-noa,Aloha Stadium,50000
43.602786,-116.19585,NCAAFootball,Boise State University,Boise State University,Bronco Stadium,30000
36.8122,-119.76054,NCAAFootball,"California State University, Fresno","California State University, Fresno",Bulldog Stadium,41031
46.72934,-117.015,NCAAFootball,University of Idaho,University of Idaho,Kibbie Dome,16000
32.5331,-92.65388,NCAAFootball,Louisiana Tech University,Louisiana Tech University,Joe Aillet Stadium,30600
39.530109,-119.812912,NCAAFootball,"University of Nevada, Reno","University of Nevada, Reno",Mackay Stadium,31000
32.27958,-106.75254,NCAAFootball,New Mexico State University,New Mexico State University,Aggie Memorial Stadium,30343
37.321069,-121.86661,NCAAFootball,San Jose State University,San Jose State University,Spartan Stadium,30578
41.757163,-111.813715,NCAAFootball,Utah State University,Utah State University,Romney Stadium,30257